level_0,index,incident_id,incident_date,state,city_or_county,address,killed,injured,incident_url,year,month-year
355,355,2054233,2021-07-04,Ohio,Cleveland,Kinsman Rd and E 139th St,0,4,https://www.gunviolencearchive.org/incident/2054233,2021,07-2021
356,356,2054132,2021-07-04,Illinois,Peoria,600 block of Haungs Ave,1,3,https://www.gunviolencearchive.org/incident/2054132,2021,07-2021
357,357,2053508,2021-07-04,Nevada,North Las Vegas,1200 block of W Helen Ave,2,7,https://www.gunviolencearchive.org/incident/2053508,2021,07-2021
358,358,2053563,2021-07-04,Illinois,Rantoul,400 block of S Maplewood Dr,0,5,https://www.gunviolencearchive.org/incident/2053563,2021,07-2021
359,359,2052689,2021-07-04,Illinois,Danville,12 S College St,0,4,https://www.gunviolencearchive.org/incident/2052689,2021,07-2021
360,360,2053786,2021-07-04,Missouri,Kansas City,E 43rd St and Indiana Ave,0,4,https://www.gunviolencearchive.org/incident/2053786,2021,07-2021
361,361,2053346,2021-07-04,Texas,Dallas,8200 block of Towns St,3,3,https://www.gunviolencearchive.org/incident/2053346,2021,07-2021
362,362,2053365,2021-07-04,Texas,Dallas,3700 Dixon Ave,0,5,https://www.gunviolencearchive.org/incident/2053365,2021,07-2021
363,363,2052353,2021-07-04,Texas,Fort Worth,3400 block of Horne St,0,8,https://www.gunviolencearchive.org/incident/2052353,2021,07-2021
364,364,2052342,2021-07-04,Nebraska,Omaha,2311 N 24th St,1,4,https://www.gunviolencearchive.org/incident/2052342,2021,07-2021
365,365,2052058,2021-07-03,North Carolina,Chadbourn,Broadway Rd,3,1,https://www.gunviolencearchive.org/incident/2052058,2021,07-2021
366,366,2051763,2021-07-03,Pennsylvania,Lancaster,50 block of W Orange St,0,4,https://www.gunviolencearchive.org/incident/2051763,2021,07-2021
367,367,2052471,2021-07-03,Georgia,Swainsboro,229 S Main St,1,3,https://www.gunviolencearchive.org/incident/2052471,2021,07-2021
368,368,2052346,2021-07-03,Illinois,Chicago,1000 block of W 89th St,0,4,https://www.gunviolencearchive.org/incident/2052346,2021,07-2021
369,369,2050836,2021-07-02,Virginia,Norfolk,923 Madison Ave,0,4,https://www.gunviolencearchive.org/incident/2050836,2021,07-2021
370,370,2051190,2021-07-02,Pennsylvania,Philadelphia,7700 block of Ogontz Ave,1,4,https://www.gunviolencearchive.org/incident/2051190,2021,07-2021
